,ZEEL.NS,PVRINOX.NS,SUNTV.NS,TV18BRDCST.NS,NAZARA.NS,DISHTV.NS,NETWORK18.NS,NAVNETEDUL.NS,HATHWAY.NS,NDTV.NS
2021-04-16,193.9499969482422,,476.04998779296875,28.149999618530273,808.7750244140625,9.199999809265137,36.650001525878906,75.5999984741211,23.100000381469727,55.349998474121094
2021-04-19,190.35000610351562,,458.25,27.399999618530273,781.3499755859375,8.899999618530273,37.25,74.55000305175781,22.299999237060547,53.75
2021-04-20,197.39999389648438,,466.6499938964844,27.549999237060547,789.125,8.800000190734863,38.599998474121094,74.1500015258789,21.799999237060547,56.04999923706055
2021-04-22,192.3000030517578,,455.75,32.900001525878906,804.5499877929688,9.399999618530273,43.04999923706055,74.69999694824219,21.799999237060547,55.150001525878906
2021-04-23,188.0,,455.20001220703125,34.04999923706055,844.9249877929688,9.399999618530273,40.5,74.75,21.649999618530273,54.25
2021-04-26,186.39999389648438,,466.6000061035156,33.900001525878906,846.7249755859375,9.399999618530273,39.400001525878906,75.0,22.049999237060547,53.75
2021-04-27,188.14999389648438,,488.6499938964844,33.349998474121094,843.1749877929688,9.550000190734863,40.45000076293945,74.94999694824219,22.25,54.150001525878906
2021-04-28,189.10000610351562,,503.70001220703125,33.599998474121094,894.9500122070312,9.350000381469727,41.20000076293945,74.69999694824219,23.950000762939453,54.900001525878906
2021-04-29,186.5500030517578,,519.4500122070312,33.95000076293945,874.75,9.300000190734863,40.349998474121094,74.9000015258789,23.399999618530273,55.04999923706055
2021-04-30,185.60000610351562,,543.3499755859375,33.95000076293945,868.375,9.25,39.5,74.5999984741211,23.450000762939453,54.25
2021-05-03,183.75,,505.1499938964844,33.45000076293945,913.0499877929688,10.0,39.75,74.5999984741211,23.700000762939453,59.650001525878906
2021-05-04,182.10000610351562,,490.04998779296875,33.349998474121094,896.1749877929688,11.850000381469727,37.95000076293945,74.69999694824219,23.200000762939453,63.0
2021-05-05,182.9499969482422,,500.6499938964844,33.25,894.6749877929688,11.649999618530273,38.900001525878906,74.80000305175781,23.0,69.30000305175781
2021-05-06,182.25,,490.3500061035156,36.25,885.9749755859375,11.800000190734863,40.599998474121094,75.0,23.0,66.69999694824219
2021-05-07,186.25,,494.8999938964844,36.099998474121094,863.5750122070312,11.850000381469727,40.099998474121094,74.80000305175781,23.299999237060547,63.95000076293945
2021-05-10,189.0,,505.25,38.349998474121094,851.5250244140625,13.25,41.0,73.9000015258789,23.200000762939453,62.849998474121094
2021-05-11,186.85000610351562,,518.5999755859375,39.349998474121094,862.2249755859375,13.350000381469727,40.849998474121094,73.5,23.350000381469727,63.349998474121094
